Model,Average Reward
checkpoint_100_22584.pth,-803.5477480158526
checkpoint_100_22585.pth,-690.6950396825196
checkpoint_100_22586.pth,-803.5477480158526
checkpoint_100_22587.pth,-804.5477480158524
checkpoint_100_22588.pth,-803.5477480158526
checkpoint_10_22584.pth,-803.5477480158526
checkpoint_10_22585.pth,-803.5477480158526
checkpoint_10_22586.pth,-803.5477480158526
checkpoint_10_22587.pth,-803.5477480158526
checkpoint_10_22588.pth,-803.5477480158526
checkpoint_150_22584.pth,-377.0665257936528
checkpoint_150_22585.pth,-334.8548313492067
checkpoint_150_22586.pth,-804.5477480158524
checkpoint_150_22587.pth,-807.8977480158529
checkpoint_150_22588.pth,-610.7837896825363
checkpoint_200_22584.pth,-212.00862896825424
checkpoint_200_22585.pth,-506.9518730158726
checkpoint_200_22586.pth,-257.6269384920632
checkpoint_200_22587.pth,-493.85145634920116
checkpoint_200_22588.pth,-326.34615873015974
